tag_id,tag_name,tag_category,parent_category,description,syllabus_weight,difficulty_indicator,related_tags,example_usage
13,Stakeholder Management,ADM Techniques,Primary Category,Stakeholder identification; engagement; power/interest matrix,15-20%,Very High,"Phase A: Architecture Vision,Communication Plan,Stakeholder Concerns,Power/Interest Grid",Questions about identifying stakeholders; managing conflicting concerns; engagement strategies
14,Architecture Patterns,ADM Techniques,Primary Category,Reusable architecture solutions,15-20%,Medium,"Building Blocks,Reference Models",Questions about applying proven architecture patterns to problems
15,Business Scenarios,ADM Techniques,Primary Category,Technique for discovering and documenting requirements,15-20%,High,"Phase A: Architecture Vision,Phase B: Business Architecture,Requirements Management",Questions about using business scenarios to elicit requirements or validate architecture
16,Gap Analysis,ADM Techniques,Primary Category,Baseline vs. Target comparison,15-20%,Very High,"Phase B: Business Architecture,Phase C: Data Architecture,Phase C: Application Architecture,Phase D: Technology Architecture",Questions about identifying differences between current and target state
17,Migration Planning Techniques,ADM Techniques,Primary Category,Implementation and migration planning,15-20%,Very High,"Phase E: Opportunities & Solutions,Phase F: Migration Planning,Transition Architecture",Questions about sequencing implementation or creating transition plans
18,Interoperability Requirements,ADM Techniques,Primary Category,Standards; protocols; interfaces,15-20%,Medium,"Integration Architecture,Standards",Questions about ensuring systems can work together
19,Business Transformation Readiness Assessment,ADM Techniques,Primary Category,Organizational readiness evaluation,15-20%,High,"Organizational Readiness,Change Management,Risk Management",Questions about assessing if organization is ready for transformation
20,Risk Management,ADM Techniques,Primary Category,Architecture risk identification and mitigation,15-20%,Very High,"Risk Assessment,Risk Mitigation,Phase E: Opportunities & Solutions",Questions about identifying architecture risks or mitigation strategies
21,Capability-Based Planning,ADM Techniques,Primary Category,Business capability assessment and planning,15-20%,Very High,"Phase B: Business Architecture,Business Capabilities,Phase E: Opportunities & Solutions",Questions about planning based on business capabilities rather than projects
22,Architecture Building Blocks,Architecture Content,Primary Category,Reusable architecture components (ABBs),10-15%,Medium,"Solution Building Blocks,Building Blocks,Enterprise Continuum",Questions about defining or selecting architecture building blocks
23,Solution Building Blocks,Architecture Content,Primary Category,Implementation-specific components (SBBs),10-15%,Medium,"Architecture Building Blocks,Building Blocks,Implementation",Questions about mapping ABBs to specific technology solutions
24,Architecture Deliverables,Architecture Content,Primary Category,Formal work products (e.g. Architecture Definition Document),10-15%,Medium,"Architecture Definition Document,Statement of Architecture Work",Questions about what deliverables to produce in each phase
25,Architecture Artifacts,Architecture Content,Primary Category,Catalogs; matrices; diagrams,10-15%,Medium,"Catalogs,Matrices,Diagrams",Questions about what artifacts to create to represent architecture
26,Architecture Viewpoints,Architecture Content,Primary Category,Stakeholder-specific perspectives,10-15%,Medium,"Architecture Views,Stakeholder Concerns",Questions about defining viewpoints for different stakeholder groups
27,Architecture Views,Architecture Content,Primary Category,Representations addressing stakeholder concerns,10-15%,Medium,"Architecture Viewpoints,Stakeholder Management",Questions about creating views that address specific concerns
28,Catalogs,Architecture Content,Primary Category,Lists of building blocks,10-15%,Low,"Architecture Artifacts,Building Blocks",Questions about documenting lists of architecture elements
29,Matrices,Architecture Content,Primary Category,Relationships between building blocks,10-15%,Medium,"Architecture Artifacts,Building Blocks,Dependencies",Questions about showing relationships between architecture elements
30,Diagrams,Architecture Content,Primary Category,Visual representations,10-15%,Low,"Architecture Artifacts,Architecture Views",Questions about creating visual architecture representations
31,Architecture Board,Enterprise Architecture Capability,Primary Category,Governance body; responsibilities; decision-making,10-15%,High,"Architecture Governance,Governance,Architecture Contracts",Questions about Architecture Board operations or decisions
32,Architecture Compliance,Enterprise Architecture Capability,Primary Category,Compliance reviews; dispensations; architecture contracts,10-15%,Very High,"Phase G: Implementation Governance,Compliance Assessment,Architecture Contracts,Dispensations",Questions about ensuring compliance or granting dispensations
33,Architecture Contracts,Enterprise Architecture Capability,Primary Category,Formal agreements between stakeholders,10-15%,High,"Architecture Compliance,Architecture Board,Phase G: Implementation Governance",Questions about establishing or enforcing architecture contracts
34,Architecture Governance,Enterprise Architecture Capability,Primary Category,Controls; processes; organizational structures,10-15%,Very High,"Architecture Governance Framework,Architecture Board,Phase G: Implementation Governance",Questions about establishing or operating governance processes
35,Architecture Maturity Models,Enterprise Architecture Capability,Primary Category,Capability assessment frameworks,10-15%,Medium,"Organizational Maturity,Architecture Capability",Questions about assessing EA maturity
36,Architecture Skills Framework,Enterprise Architecture Capability,Primary Category,Roles; competencies; responsibilities,10-15%,Low,"Architecture Organization,Competency Areas",Questions about EA team roles and skills
37,Architecture Repository,Enterprise Architecture Capability,Primary Category,Enterprise Continuum; reference models; standards,10-15%,Medium,"Enterprise Continuum,Architecture Continuum,Reference Models",Questions about managing architecture assets
38,Business Architecture,Architectural Domains,Secondary Category,Business strategy; organization; processes,30-40%,High,"Phase B: Business Architecture,Business Capabilities,Value Streams",Questions focused on business domain architecture
39,Data Architecture,Architectural Domains,Secondary Category,Data assets; data management resources,30-40%,Very High,"Phase C: Data Architecture,Data Governance,Data Integration",Questions focused on data domain architecture
40,Application Architecture,Architectural Domains,Secondary Category,Application systems and interactions,30-40%,High,"Phase C: Application Architecture,Integration Architecture",Questions focused on application domain architecture
41,Technology Architecture,Architectural Domains,Secondary Category,Hardware; software; network infrastructure,30-40%,Medium,"Phase D: Technology Architecture,Infrastructure",Questions focused on technology domain architecture
42,Security Architecture,Architectural Domains,Secondary Category,Security principles; controls; frameworks,30-40%,Medium,"Security,Risk Management",Questions focused on security aspects of architecture
43,Enterprise Architecture,Architectural Domains,Secondary Category,Holistic; enterprise-wide architecture,30-40%,High,"Enterprise Continuum,Architecture Landscape",Questions with enterprise-wide scope
44,Architecture Landscape,Key Concepts,Secondary Category,Baseline; Target; Transition architectures,N/A,High,"Baseline Architecture,Target Architecture,Transition Architecture",Questions about architecture states and transitions
45,Architecture Vision,Key Concepts,Secondary Category,High-level aspirational view,10-15%,Medium,"Phase A: Architecture Vision,Stakeholder Management",Questions about creating inspiring future-state vision
46,Target Architecture,Key Concepts,Secondary Category,Desired future state,30-40%,High,"Architecture Landscape,Gap Analysis",Questions about defining or validating target state
47,Baseline Architecture,Key Concepts,Secondary Category,Current state documentation,30-40%,High,"Architecture Landscape,Gap Analysis",Questions about documenting or analyzing current state
48,Transition Architecture,Key Concepts,Secondary Category,Intermediate states between baseline and target,20-25%,Very High,"Architecture Landscape,Phase E: Opportunities & Solutions,Migration Planning",Questions about creating intermediate architecture states
49,Architecture Continuum,Key Concepts,Secondary Category,Structuring architecture assets,10-15%,Medium,"Enterprise Continuum,Architecture Repository",Questions about organizing architecture work products
50,Enterprise Continuum,Key Concepts,Secondary Category,Broader context including Solutions Continuum,10-15%,Medium,"Architecture Continuum,Solution Building Blocks",Questions about the full continuum of architecture and solutions
51,Building Blocks,Key Concepts,Secondary Category,Packages of functionality (ABBs and SBBs),10-15%,Medium,"Architecture Building Blocks,Solution Building Blocks",Questions about defining or using building blocks
52,Bounded Context,Key Concepts,Secondary Category,Scope limitations for architecture work,10-15%,Medium,"Phase A: Architecture Vision,Scope",Questions about defining or managing architecture scope
53,Architecture Governance Framework,Governance & Compliance,Secondary Category,Processes; structures; controls,10-15%,High,"Architecture Governance,Architecture Board",Questions about governance framework structure
54,Architecture Board Operations,Governance & Compliance,Secondary Category,Board meetings; decision processes,10-15%,High,"Architecture Board,Governance",Questions about how Architecture Board operates
55,Compliance Assessment,Governance & Compliance,Secondary Category,Reviewing compliance with architecture,15-20%,Very High,"Architecture Compliance,Phase G: Implementation Governance",Questions about assessing project compliance
56,Dispensations,Governance & Compliance,Secondary Category,Approved deviations from standards,15-20%,High,"Architecture Compliance,Architecture Board",Questions about granting or managing dispensations
57,Architecture Compliance Reviews,Governance & Compliance,Secondary Category,Formal compliance checking,15-20%,Very High,"Compliance Assessment,Phase G: Implementation Governance",Questions about conducting compliance reviews
58,Implementation Governance,Governance & Compliance,Secondary Category,Phase G activities,15-20%,High,"Phase G: Implementation Governance,Architecture Compliance",Questions about governing implementation projects
59,Service Level Agreements,Governance & Compliance,Secondary Category,Service commitments (SLAs),10-15%,Low,"Contracts,Governance",Questions about defining or managing SLAs
60,Operational Level Agreements,Governance & Compliance,Secondary Category,Internal operational commitments (OLAs),10-15%,Low,"Contracts,Governance",Questions about internal service agreements
61,Stakeholder Concerns,Stakeholder & Organization,Secondary Category,Issues that matter to stakeholders,15-20%,Very High,"Stakeholder Management,Architecture Viewpoints",Questions about identifying or addressing stakeholder concerns
62,Communication Plan,Stakeholder & Organization,Secondary Category,Strategy for stakeholder communication,15-20%,Medium,"Stakeholder Management,Phase A: Architecture Vision",Questions about planning stakeholder communications
63,Power/Interest Grid,Stakeholder & Organization,Secondary Category,Stakeholder classification tool,15-20%,High,"Stakeholder Management,Stakeholder Analysis",Questions about categorizing stakeholders by power and interest
64,Organizational Structure,Stakeholder & Organization,Secondary Category,Organizational units; reporting lines,10-15%,Medium,"Phase B: Business Architecture,Organization Map",Questions about organizational design or structure
65,Architecture Organization,Stakeholder & Organization,Secondary Category,EA team structure and roles,10-15%,Medium,"Architecture Skills Framework,Roles",Questions about EA team organization
66,Change Management,Stakeholder & Organization,Secondary Category,Organizational change processes,15-20%,Very High,"Phase H: Architecture Change Management,Organizational Readiness",Questions about managing organizational change
67,Organizational Readiness,Stakeholder & Organization,Secondary Category,Capacity to absorb change,15-20%,Very High,"Business Transformation Readiness Assessment,Change Management",Questions about assessing readiness for change
68,Business Capabilities,Business-Focused,Specialized Topics,What the business does or can do,30-40%,Very High,"Phase B: Business Architecture,Capability-Based Planning",Questions about defining or assessing business capabilities
69,Value Streams,Business-Focused,Specialized Topics,End-to-end collections of value-adding activities,30-40%,High,"Phase B: Business Architecture,Business Architecture",Questions about mapping or analyzing value streams
70,Business Goals,Business-Focused,Specialized Topics,Strategic business objectives,10-15%,Medium,"Architecture Vision,Business Drivers",Questions about aligning architecture to business goals
71,Business Drivers,Business-Focused,Specialized Topics,Factors motivating change,10-15%,High,"Architecture Vision,Business Goals",Questions about understanding what's driving the need for architecture
72,Business Constraints,Business-Focused,Specialized Topics,Limitations affecting the architecture,10-15%,High,"Constraints,Phase A: Architecture Vision",Questions about working within business limitations
73,Business Requirements,Business-Focused,Specialized Topics,Needs the architecture must satisfy,15-20%,High,"Requirements Management,Business Scenarios",Questions about capturing or managing business requirements
74,Business Functions,Business-Focused,Specialized Topics,Logical groupings of business activities,30-40%,Medium,"Phase B: Business Architecture,Organizational Structure",Questions about business function definition or organization
75,Business Services,Business-Focused,Specialized Topics,Services offered to customers/stakeholders,30-40%,Medium,"Phase B: Business Architecture,Service-Oriented Architecture",Questions about business service definition or delivery
76,Operating Model,Business-Focused,Specialized Topics,How the business is organized and operates,30-40%,High,"Phase B: Business Architecture,Organizational Structure",Questions about business operating model design
77,Digital Transformation,Transformation-Focused,Specialized Topics,Technology-enabled business transformation,20-25%,Very High,"Business Transformation,Phase E: Opportunities & Solutions",Questions about digital transformation initiatives
78,Business Transformation,Transformation-Focused,Specialized Topics,Fundamental business change,20-25%,Very High,"Change Management,Organizational Readiness",Questions about major business transformation
79,Migration Planning,Transformation-Focused,Specialized Topics,Planning the move to target state,20-25%,Very High,"Phase F: Migration Planning,Implementation Roadmap",Questions about detailed migration planning
80,Implementation Roadmap,Transformation-Focused,Specialized Topics,Sequenced implementation plan,20-25%,Very High,"Phase E: Opportunities & Solutions,Phase F: Migration Planning,Transition Architecture",Questions about creating or managing implementation roadmap
81,Work Packages,Transformation-Focused,Specialized Topics,Groupings of implementation work,20-25%,High,"Phase E: Opportunities & Solutions,Implementation Roadmap",Questions about defining work packages for implementation
82,Project Portfolio,Transformation-Focused,Specialized Topics,Collection of related projects,20-25%,Medium,"Portfolio Management,Work Packages",Questions about managing portfolio of architecture projects
83,Dependencies,Transformation-Focused,Specialized Topics,Relationships between architecture elements,20-25%,Very High,"Phase F: Migration Planning,Sequencing,Matrices",Questions about identifying or managing dependencies
84,Sequencing,Transformation-Focused,Specialized Topics,Order of implementation activities,20-25%,Very High,"Phase F: Migration Planning,Dependencies,Implementation Roadmap",Questions about determining optimal sequence of implementation
85,Integration Architecture,Integration & Interoperability,Specialized Topics,How systems connect and interact,30-40%,Very High,"Phase C: Application Architecture,Interoperability",Questions about system integration strategies
86,Interoperability,Integration & Interoperability,Specialized Topics,Ability of systems to work together,15-20%,High,"Integration Architecture,Interoperability Requirements",Questions about ensuring interoperability
87,APIs & Interfaces,Integration & Interoperability,Specialized Topics,Application programming interfaces,30-40%,Medium,"Integration Architecture,Technology Architecture",Questions about API design or management
88,Data Integration,Integration & Interoperability,Specialized Topics,Combining data from different sources,30-40%,Very High,"Phase C: Data Architecture,Integration Architecture",Questions about integrating data across systems
89,System Integration,Integration & Interoperability,Specialized Topics,Connecting disparate systems,30-40%,High,"Integration Architecture,Phase C: Application Architecture",Questions about connecting existing systems
90,Service-Oriented Architecture,Integration & Interoperability,Specialized Topics,Architecture style using services (SOA),30-40%,Medium,"Integration Architecture,Architecture Patterns",Questions about SOA approaches
91,Enterprise Service Bus,Integration & Interoperability,Specialized Topics,Integration infrastructure (ESB),30-40%,Low,"Integration Architecture,Technology Architecture",Questions about ESB technology or patterns
92,Federated Architecture,Integration & Interoperability,Specialized Topics,Distributed but coordinated architecture,30-40%,High,"Integration Architecture,Architecture Patterns",Questions about federated architecture approaches
93,Risk Assessment,Risk & Quality,Specialized Topics,Evaluating risk likelihood and impact,15-20%,Very High,"Risk Management,Phase E: Opportunities & Solutions",Questions about assessing architecture risks
94,Risk Mitigation,Risk & Quality,Specialized Topics,Actions to reduce risk,15-20%,Very High,"Risk Management,Risk Assessment",Questions about mitigating identified risks
95,Architecture Quality Attributes,Risk & Quality,Specialized Topics,Non-functional requirements (performance; security; etc.),30-40%,Medium,"Requirements,Technology Architecture",Questions about quality attribute requirements
96,Trade-offs,Risk & Quality,Specialized Topics,Balancing competing concerns,15-20%,Very High,"Architecture Principles,Decision-Making,Risk Management",Questions about making architectural trade-offs
97,Constraints,Risk & Quality,Specialized Topics,Limitations on architecture options,10-15%,High,"Business Constraints,Requirements",Questions about working within constraints
98,Assumptions,Risk & Quality,Specialized Topics,Things assumed to be true,10-15%,Medium,"Risk Management,Architecture Vision",Questions about documenting or validating assumptions
99,Modeling Tools,Tools & Methods,Specialized Topics,Software for creating architecture models,10-15%,Low,"Architecture Artifacts,Technology",Questions about selecting or using modeling tools
100,Architecture Repository Tools,Tools & Methods,Specialized Topics,Tools for managing architecture assets,10-15%,Low,"Architecture Repository,Enterprise Continuum",Questions about repository management
101,Analysis Techniques,Tools & Methods,Specialized Topics,Methods for analyzing architectures,15-20%,Medium,"Gap Analysis,Business Scenarios,Risk Assessment",Questions about analytical approaches
102,Documentation Standards,Tools & Methods,Specialized Topics,Standards for architecture documentation,10-15%,Low,"Architecture Deliverables,Standards",Questions about documentation approaches
103,Metamodels,Tools & Methods,Specialized Topics,Models of modeling languages,10-15%,Low,"Architecture Content,Data Architecture",Questions about metamodel definition
104,Reference Models,Tools & Methods,Specialized Topics,Generic architecture models,10-15%,Medium,"Architecture Patterns,Architecture Repository",Questions about using or adapting reference models
105,Industry Models,Tools & Methods,Specialized Topics,Sector-specific architecture models,10-15%,Low,"Reference Models,Domain-Specific",Questions about industry-specific models
106,L3: Apply,Bloom's Taxonomy,Difficulty & Skill,"Use information in new situations (PRIMARY for Practitioner exam)",N/A,Target,"Decision-Making,Problem-Solving",Practitioner exam primary level - applying TOGAF to scenarios
107,L4: Analyze,Bloom's Taxonomy,Difficulty & Skill,"Draw connections among ideas (PRIMARY for Practitioner exam)",N/A,Target,"Critical Thinking,Pattern Recognition",Practitioner exam primary level - analyzing architectural situations
108,Architecture Method,Competency Areas,Difficulty & Skill,Knowledge of ADM and techniques,N/A,Medium,"ADM Phases,ADM Techniques",Questions testing ADM knowledge
109,Business Skills,Competency Areas,Difficulty & Skill,"Business planning; cases; partnerships",N/A,High,"Business Architecture,Stakeholder Management",Questions testing business acumen
110,IT Skills,Competency Areas,Difficulty & Skill,Technology knowledge and trends,N/A,Medium,"Technology Architecture,Application Architecture",Questions testing technology knowledge
111,Architecture Skills,Competency Areas,Difficulty & Skill,"Design; modeling; patterns",N/A,High,"Architecture Patterns,Modeling,Design",Questions testing architecture design skills
112,Program/Project Management,Competency Areas,Difficulty & Skill,Planning and delivery,N/A,Medium,"Phase E: Opportunities & Solutions,Phase F: Migration Planning",Questions testing project management aspects
113,Governance Skills,Competency Areas,Difficulty & Skill,Compliance and control,N/A,High,"Architecture Governance,Architecture Compliance",Questions testing governance knowledge
114,Communications,Competency Areas,Difficulty & Skill,Presentation and documentation,N/A,Medium,"Stakeholder Management,Communication Plan",Questions testing communication skills
115,Manufacturing,Industry Sectors,Scenario Context,Production; supply chain,N/A,N/A,"Operations,Supply Chain",Manufacturing industry scenarios
116,Financial Services,Industry Sectors,Scenario Context,"Banking; insurance; investments",N/A,N/A,"Compliance,Regulatory",Financial services scenarios
117,Healthcare,Industry Sectors,Scenario Context,"Hospitals; pharmaceutical; medical devices",N/A,N/A,"Patient Care,Compliance",Healthcare industry scenarios
118,Retail,Industry Sectors,Scenario Context,"Consumer goods; e-commerce",N/A,N/A,"Customer Experience,Omnichannel",Retail industry scenarios
119,Energy & Utilities,Industry Sectors,Scenario Context,"Power; water; oil & gas",N/A,N/A,"Infrastructure,Sustainability",Energy and utilities scenarios
120,Transportation,Industry Sectors,Scenario Context,"Logistics; shipping; airlines",N/A,N/A,"Operations,Supply Chain",Transportation industry scenarios
121,Agriculture,Industry Sectors,Scenario Context,"Farming; food production",N/A,N/A,"Operations,Sustainability",Agriculture industry scenarios
122,Government,Industry Sectors,Scenario Context,"Public sector; regulatory",N/A,N/A,"Compliance,Public Service",Government sector scenarios
123,Education,Industry Sectors,Scenario Context,"Schools; universities",N/A,N/A,"Student Services,Digital Learning",Education sector scenarios
124,Telecommunications,Industry Sectors,Scenario Context,"Networks; connectivity",N/A,N/A,"Infrastructure,Customer Service",Telecommunications scenarios
125,Technology,Industry Sectors,Scenario Context,"Software; IT services",N/A,N/A,"Innovation,Digital",Technology industry scenarios
126,Regulatory Compliance,Transformation Drivers,Scenario Context,New laws/regulations requiring change,N/A,Very High,"Risk Management,Governance",Compliance-driven scenarios
127,Digital Innovation,Transformation Drivers,Scenario Context,Technology-driven opportunities,N/A,High,"Digital Transformation,Innovation",Innovation-driven scenarios
128,Merger & Acquisition,Transformation Drivers,Scenario Context,Organizational consolidation,N/A,Very High,"Integration,Organizational Change",M&A scenarios
129,Cost Reduction,Transformation Drivers,Scenario Context,Efficiency and optimization,N/A,High,"Optimization,Resource Constraints",Cost-focused scenarios
130,Market Expansion,Transformation Drivers,Scenario Context,Geographic or product growth,N/A,Medium,"Growth,Business Strategy",Expansion scenarios
131,Customer Experience,Transformation Drivers,Scenario Context,Improving service delivery,N/A,High,"CX,Digital Transformation",Customer-focused scenarios
132,Sustainability/ESG,Transformation Drivers,Scenario Context,"Environmental; social; governance",N/A,High,"ESG,Compliance",Sustainability-driven scenarios
133,Security Threats,Transformation Drivers,Scenario Context,Cybersecurity concerns,N/A,High,"Security Architecture,Risk Management",Security-driven scenarios
134,Legacy Modernization,Transformation Drivers,Scenario Context,Replacing old systems,N/A,Very High,"Technology Debt,Migration",Legacy system scenarios
135,Competitive Pressure,Transformation Drivers,Scenario Context,Market forces driving change,N/A,High,"Market Competition,Innovation",Competition-driven scenarios
136,Low Maturity,Organizational Maturity,Scenario Context,"Ad-hoc processes; limited EA capability",N/A,Very High,"Organizational Readiness,Capability Development",Low maturity organization scenarios
137,Medium Maturity,Organizational Maturity,Scenario Context,"Some standardization; developing EA",N/A,Medium,"Capability Development,Governance",Medium maturity scenarios
138,High Maturity,Organizational Maturity,Scenario Context,"Optimized processes; mature EA practice",N/A,Low,"Best Practices,Continuous Improvement",High maturity scenarios
139,Greenfield,Organizational Maturity,Scenario Context,New organization or initiative,N/A,Medium,"New Development,Innovation",Greenfield scenarios
140,Brownfield,Organizational Maturity,Scenario Context,Existing complex environment,N/A,Very High,"Legacy Systems,Technical Debt",Brownfield scenarios
141,Hybrid,Organizational Maturity,Scenario Context,Mix of new and legacy,N/A,High,"Integration,Modernization",Hybrid environment scenarios
142,Sequencing Decisions,Question Patterns,Common Patterns,What to do first/next,N/A,Very High,"Phase F: Migration Planning,Dependencies",Questions about sequence of activities
143,Scope Decisions,Question Patterns,Common Patterns,What to include/exclude,N/A,High,"Phase A: Architecture Vision,Bounded Context",Questions about defining scope
144,Prioritization,Question Patterns,Common Patterns,Which items are most important,N/A,Very High,"Risk-Based Decisions,Resource Allocation",Questions about prioritizing activities
145,Trade-off Analysis,Question Patterns,Common Patterns,Balancing competing concerns,N/A,Very High,"Architecture Principles,Quality Attributes",Questions about architectural trade-offs
146,Stakeholder Conflict Resolution,Question Patterns,Common Patterns,Managing disagreements,N/A,Very High,"Stakeholder Management,Communication",Questions about resolving stakeholder conflicts
147,Resource Allocation,Question Patterns,Common Patterns,How to deploy limited resources,N/A,High,"Resource Constraints,Prioritization",Questions about allocating scarce resources
148,Risk-Based Decisions,Question Patterns,Common Patterns,Choosing based on risk assessment,N/A,Very High,"Risk Management,Decision-Making",Questions about risk-based decision making
149,Integration Chaos,Problem Patterns,Common Patterns,Fragmented systems needing coordination,N/A,Very High,"Integration Architecture,System Consolidation",Scenarios with integration problems
150,Data Quality Issues,Problem Patterns,Common Patterns,Inconsistent or unreliable data,N/A,Very High,"Data Architecture,Data Governance",Scenarios with data problems
151,Stakeholder Misalignment,Problem Patterns,Common Patterns,Conflicting stakeholder views,N/A,Very High,"Stakeholder Management,Conflict Resolution",Scenarios with stakeholder conflicts
152,Resource Constraints,Problem Patterns,Common Patterns,Limited budget/time/people,N/A,Very High,"Prioritization,Trade-offs",Resource-constrained scenarios
153,Governance Gaps,Problem Patterns,Common Patterns,Lack of oversight or control,N/A,High,"Architecture Governance,Compliance",Scenarios with governance issues
154,Legacy System Challenges,Problem Patterns,Common Patterns,Old systems constraining progress,N/A,Very High,"Legacy Modernization,Technical Debt",Legacy system scenarios
155,Organizational Resistance,Problem Patterns,Common Patterns,Change management challenges,N/A,Very High,"Change Management,Organizational Readiness",Scenarios with resistance to change
156,Scope Creep,Problem Patterns,Common Patterns,Expanding requirements,N/A,High,"Scope Management,Requirements Management",Scenarios with uncontrolled scope growth
157,Premature Solution Selection,Problem Patterns,Common Patterns,Jumping to tools before architecture,N/A,Very High,"Solution-Driven,Anti-Pattern",Scenarios where solutions selected too early
158,Solution Before Architecture,Anti-Patterns,Common Patterns,Selecting tools before requirements,N/A,Very High,"Premature Solution Selection,Technology-First",Anti-pattern: solution-first approach
159,Boiling the Ocean,Anti-Patterns,Common Patterns,Overly ambitious scope,N/A,High,"Scope Creep,Over-Engineering",Anti-pattern: trying to do too much
160,Analysis Paralysis,Anti-Patterns,Common Patterns,Over-analyzing without progress,N/A,Medium,"Decision-Making,Progress",Anti-pattern: excessive analysis
161,Governance Theater,Anti-Patterns,Common Patterns,Process without value,N/A,High,"Architecture Governance,Bureaucracy",Anti-pattern: governance for governance sake
162,Technology-First,Anti-Patterns,Common Patterns,Leading with technology vs. business need,N/A,Very High,"Solution-Driven,Business Alignment",Anti-pattern: technology before business
163,Ivory Tower Architecture,Anti-Patterns,Common Patterns,Disconnected from implementation,N/A,High,"Implementation,Pragmatism",Anti-pattern: impractical architecture
164,Documentation Over Action,Anti-Patterns,Common Patterns,Excessive documentation,N/A,Medium,"Documentation,Delivery",Anti-pattern: too much documentation
165,Skipping Phases,Anti-Patterns,Common Patterns,Jumping ahead in ADM,N/A,Very High,"ADM Phases,Methodology",Anti-pattern: not following ADM properly
166,Best Practice Application,Answer Types,Meta Tags,Applying TOGAF methods correctly,N/A,High,"TOGAF Standard,Methodology",Questions requiring TOGAF best practices
167,Phase Selection,Answer Types,Meta Tags,Choosing appropriate ADM phase,N/A,Very High,"ADM Phases,Methodology",Questions about which phase to use
168,Technique Selection,Answer Types,Meta Tags,Choosing appropriate TOGAF technique,N/A,Very High,"ADM Techniques,Methods",Questions about which technique to apply
169,Deliverable Selection,Answer Types,Meta Tags,Choosing appropriate work product,N/A,High,"Architecture Deliverables,Artifacts",Questions about what to produce
170,Role Selection,Answer Types,Meta Tags,Choosing appropriate stakeholder/role,N/A,Medium,"Stakeholder Management,Roles",Questions about who should be involved
171,Root Cause Analysis,Answer Types,Meta Tags,Identifying underlying issues,N/A,Very High,"Problem-Solving,Analysis",Questions requiring root cause identification
172,Plausible But Incomplete,Distractor Types,Meta Tags,Addresses symptoms not causes,N/A,N/A,"Second Best,Partial Solution",Common distractor pattern
173,Wrong Phase,Distractor Types,Meta Tags,"Correct technique; wrong timing",N/A,N/A,"Phase Confusion,Sequencing",Common distractor pattern
174,Over-Engineering,Distractor Types,Meta Tags,Unnecessarily complex solution,N/A,N/A,"Boiling the Ocean,Complexity",Common distractor pattern
175,Under-Engineering,Distractor Types,Meta Tags,Insufficient rigor or scope,N/A,N/A,"Incomplete,Shortcuts",Common distractor pattern
176,Confused Discipline,Distractor Types,Meta Tags,"Mixing PM; governance; or other disciplines",N/A,N/A,"Role Confusion,Discipline Boundaries",Common distractor pattern
177,Premature Optimization,Distractor Types,Meta Tags,Acting before understanding,N/A,N/A,"Premature Solution Selection,Rushing",Common distractor pattern
